phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
CD4+ T cells,CD4+ T cells,92616.0,F81P1_92616,31301.9717741936,48456.7701612903
memory CD8+ T cells,Effector CD8+ T cells,92778.0,F81P1_92778,30506.4345794393,48439.6682242991
CD4+ T cells,CD4+ T cells,92839.0,F81P1_92839,30568.126394052,48491.6319702602
CD4+ T cells,CD4+ T cells,92874.0,F81P1_92874,32693.1420454545,48690.8920454545
stromal cells,Stromal,93077.0,F81P1_93077,32270.2748917749,48215.5
memory CD4+ T cells,Regulatory T cells,93187.0,F81P1_93187,30944.3580786026,48729.7336244542
memory CD4+ T cells,Regulatory T cells,93284.0,F81P1_93284,29595.5820895522,48214.8134328358
memory CD4+ T cells,Regulatory T cells,93331.0,F81P1_93331,31228.3585313175,48210.8639308855
memory CD8+ T cells,Effector CD8+ T cells,93345.0,F81P1_93345,30366.4253731343,48260.6791044776
regulatory T cells,Regulatory T cells,93653.0,F81P1_93653,30893.0982905983,47901.235042735
memory CD8+ T cells,Effector CD8+ T cells,93717.0,F81P1_93717,31636.6946107784,48442.9820359281
effector CD8+ T cells,Effector CD8+ T cells,93741.0,F81P1_93741,32802.3849557522,48132.0707964602
CD4+ T cells,CD4+ T cells,93916.0,F81P1_93916,30110.4358108108,48459.9797297297
memory CD4+ T cells,Regulatory T cells,94178.0,F81P1_94178,30881.5774647887,48688.0657276995
endothelial cells,Endothelial,94192.0,F81P1_94192,33124.4690721649,47693.8865979381
memory CD4+ T cells,Regulatory T cells,94204.0,F81P1_94204,31598.8990990991,48441.427027027
stromal cells,Stromal,94246.0,F81P1_94246,30931.6811594203,48077.9275362319
CD4+ T cells,CD4+ T cells,94313.0,F81P1_94313,30969.6568914956,48154.3196480938
neutrophils,Neutrophils,94588.0,F81P1_94588,30961.724137931,48652.8827586207
endothelial cells,Endothelial,94617.0,F81P1_94617,31546.7385620915,47584.1960784314
effector CD8+ T cells,Effector CD8+ T cells,94780.0,F81P1_94780,32174.2328244275,47855.0229007634
memory CD4+ T cells,Regulatory T cells,94833.0,F81P1_94833,30970.1833333333,48696.2388888889
memory CD4+ T cells,Regulatory T cells,94853.0,F81P1_94853,29855.3523809524,48768.6095238095
memory CD8+ T cells,Effector CD8+ T cells,94904.0,F81P1_94904,32083.0116731518,48364.1439688716
stromal cells,Stromal,94970.0,F81P1_94970,30376.871886121,48359.8149466192
memory CD4+ T cells,Regulatory T cells,95053.0,F81P1_95053,30925.7171717172,48193.6060606061
memory CD4+ T cells,Regulatory T cells,95132.0,F81P1_95132,30429.8682170543,48609.1550387597
endothelial cells,Endothelial,95138.0,F81P1_95138,31960.8473684211,48349.1684210526
endothelial cells,Endothelial,95481.0,F81P1_95481,31452.6424581006,47491.094972067
effector CD8+ T cells,Effector CD8+ T cells,95502.0,F81P1_95502,31258.076,48431.204
