phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
stromal cells,Stromal,401008.0,FAAGSCC_13_401008,29661.7270408163,19386.5510204082
endothelial cells,Endothelial,401096.0,FAAGSCC_13_401096,29128.9130434783,20431.9456521739
stromal cells,Stromal,401138.0,FAAGSCC_13_401138,30129.632034632,19996.4523809524
stromal cells,Stromal,401364.0,FAAGSCC_13_401364,29923.4501607717,20520.5691318328
stromal cells,Stromal,401612.0,FAAGSCC_13_401612,29199.5427350427,20064.0512820513
stromal cells,Stromal,401933.0,FAAGSCC_13_401933,29836.063559322,20280.1398305085
stromal cells,Stromal,402324.0,FAAGSCC_13_402324,29581.4120481928,20411.5590361446
endothelial cells,Endothelial,402556.0,FAAGSCC_13_402556,29844.7587548638,19403.7821011673
stromal cells,Stromal,402862.0,FAAGSCC_13_402862,29130.5588235294,19638.8725490196
stromal cells,Stromal,402907.0,FAAGSCC_13_402907,29921.8503184713,19950.7452229299
stromal cells,Stromal,403153.0,FAAGSCC_13_403153,30624.15,18979.365
endothelial cells,Endothelial,403588.0,FAAGSCC_13_403588,30013.4421768707,20625.4013605442
M2 macrophages,M2 macrophages,403842.0,FAAGSCC_13_403842,30445.9,18735.2571428571
stromal cells,Stromal,403850.0,FAAGSCC_13_403850,29985.7705882353,21075.7823529412
M2 macrophages,M2 macrophages,403893.0,FAAGSCC_13_403893,29134.2367149758,19936.1062801932
stromal cells,Stromal,404113.0,FAAGSCC_13_404113,29335.4388489209,19471.8561151079
endothelial cells,Endothelial,404319.0,FAAGSCC_13_404319,30304.58,20264.63
stromal cells,Stromal,404627.0,FAAGSCC_13_404627,29700.3050847458,19799.7627118644
stromal cells,Stromal,404877.0,FAAGSCC_13_404877,30285.0299401198,21085.8832335329
stromal cells,Stromal,405442.0,FAAGSCC_13_405442,30330.5057736721,20074.8036951501
stromal cells,Stromal,405549.0,FAAGSCC_13_405549,29346.4628820961,19531.4978165939
stromal cells,Stromal,405600.0,FAAGSCC_13_405600,30027.6891891892,19418.4932432432
stromal cells,Stromal,405828.0,FAAGSCC_13_405828,29460.6036585366,20081.8414634146
