phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
tumor cells,Tumor,5639.0,F82P1_5639,31887.2486187845,6052.33425414365
Ki67+ tumor cells,Ki67+ tumor,5732.0,F82P1_5732,34411.1825192802,5671.53984575836
tumor cells,Tumor,5797.0,F82P1_5797,31435.7966507177,4745.7009569378
tumor cells,Tumor,5806.0,F82P1_5806,32484.4735294118,4604.83529411765
tumor cells,Tumor,5819.0,F82P1_5819,33014.1219008264,5843.46074380165
Ki67+ tumor cells,Ki67+ tumor,5826.0,F82P1_5826,31275.1746031746,4797.82010582011
tumor cells,Tumor,5890.0,F82P1_5890,33316.0113122172,4591.64705882353
Ki67+ tumor cells,Ki67+ tumor,5912.0,F82P1_5912,33753.0739856802,5742.96420047733
tumor cells,Tumor,5924.0,F82P1_5924,34705.321858864,6667.20309810671
tumor cells,Tumor,5959.0,F82P1_5959,32123.7842639594,5694.87055837564
endothelial cells,Endothelial,5996.0,F82P1_5996,31160.3353658537,4168.41056910569
tumor cells,Tumor,6101.0,F82P1_6101,32959.5294117647,5992.02588235294
tumor cells,Tumor,6124.0,F82P1_6124,32605.3227513228,5567.61904761905
tumor cells,Tumor,6139.0,F82P1_6139,34876.3858024691,6163.0524691358
memory CD8+ T cells,Effector CD8+ T cells,6156.0,F82P1_6156,32956.7851458886,6159.11936339523
tumor cells,Tumor,6244.0,F82P1_6244,34447.3785557987,6682.47921225383
tumor cells,Tumor,6307.0,F82P1_6307,31567.7634408602,5919.87956989247
tumor cells,Tumor,6328.0,F82P1_6328,32507.7852998066,5927.29013539652
tumor cells,Tumor,6442.0,F82P1_6442,31824.7713625866,6029.15011547344
tumor cells,Tumor,6445.0,F82P1_6445,33321.9185606061,4426.48674242424
tumor cells,Tumor,6462.0,F82P1_6462,34436.2612612613,6623.99774774775
tumor cells,Tumor,6490.0,F82P1_6490,31659.6717391304,6111.69782608696
Ki67+ tumor cells,Ki67+ tumor,6543.0,F82P1_6543,34842.6254071661,6070.01302931596
tumor cells,Tumor,6608.0,F82P1_6608,34400.3166144201,5621.77115987461
tumor cells,Tumor,6616.0,F82P1_6616,32106.7127659574,6211.41755319149
tumor cells,Tumor,6732.0,F82P1_6732,34478.8955223881,6012.99253731343
Ki67+ tumor cells,Ki67+ tumor,6793.0,F82P1_6793,34433.9042253521,5695.71830985916
tumor cells,Tumor,6831.0,F82P1_6831,31646.4429530201,6052.74944071588
tumor cells,Tumor,6845.0,F82P1_6845,31450.5183246073,4668.33682373473
tumor cells,Tumor,6856.0,F82P1_6856,34436.3375,6481.995
Ki67+ tumor cells,Ki67+ tumor,6950.0,F82P1_6950,31255.7487309645,4784.38578680203
other APCs,Other APCs,6970.0,F82P1_6970,34479.0700636943,5950.08280254777
dendritic cells,Dendritic cells,6981.0,F82P1_6981,31214.1492248062,4704.61434108527
tumor cells,Tumor,7094.0,F82P1_7094,34272.4779005525,6584.3591160221
tumor cells,Tumor,7117.0,F82P1_7117,32149.3786127168,4636.61705202312
Ki67+ tumor cells,Ki67+ tumor,7124.0,F82P1_7124,33674.8366013072,5954.46840958606
tumor cells,Tumor,7396.0,F82P1_7396,34475.9948186529,6651.96632124352
tumor cells,Tumor,7447.0,F82P1_7447,34656.5679758308,6341.6253776435
tumor cells,Tumor,7457.0,F82P1_7457,33362.016293279,4162.03054989817
tumor cells,Tumor,7468.0,F82P1_7468,32004.4302884615,5946.82692307692
tumor cells,Tumor,7578.0,F82P1_7578,32339.3146853147,5755.88531468531
tumor cells,Tumor,7738.0,F82P1_7738,32365.0949820789,5819.82437275986
Ki67+ tumor cells,Ki67+ tumor,7746.0,F82P1_7746,33321.9335260116,4840.70520231214
memory CD4+ T cells,Regulatory T cells,7754.0,F82P1_7754,32741.9730941704,6120.21524663677
tumor cells,Tumor,7889.0,F82P1_7889,32539.9846449136,5858.67946257198
tumor cells,Tumor,7892.0,F82P1_7892,34832.3224043716,6242.11475409836
tumor cells,Tumor,8004.0,F82P1_8004,34470.7026022305,5713.65799256506
tumor cells,Tumor,8095.0,F82P1_8095,32530.25,5667.65466101695
tumor cells,Tumor,8190.0,F82P1_8190,32687.8509090909,5635.19090909091
tumor cells,Tumor,8209.0,F82P1_8209,32799.5492682927,4594.31512195122
tumor cells,Tumor,8333.0,F82P1_8333,31407.2252010724,4675.49061662198
tumor cells,Tumor,8361.0,F82P1_8361,34347.7765957447,5861.81914893617
tumor cells,Tumor,8370.0,F82P1_8370,31369.3700787402,4767.52952755906
tumor cells,Tumor,8377.0,F82P1_8377,31438.9059701493,5335.47611940299
tumor cells,Tumor,8506.0,F82P1_8506,31448.8354203936,5596.01073345259
tumor cells,Tumor,8531.0,F82P1_8531,31376.1354166667,4615.02976190476
Ki67+ tumor cells,Ki67+ tumor,8550.0,F82P1_8550,32552.4275362319,6028.20048309179
tumor cells,Tumor,8595.0,F82P1_8595,34453.7883597884,6307.44973544974
Ki67+ tumor cells,Ki67+ tumor,8610.0,F82P1_8610,33746.2196796339,5715.47139588101
tumor cells,Tumor,8611.0,F82P1_8611,32672.4559322034,5403.53389830509
tumor cells,Tumor,8617.0,F82P1_8617,31209.7982832618,4377.50643776824
tumor cells,Tumor,8714.0,F82P1_8714,31514.838,6143.838
